Date,AAPL,MSFT,NFLX,GOOGL
2025-05-23,195.04864501953125,449.441162109375,1185.3900146484375,168.26629638671875
2025-05-27,199.98304748535156,459.93389892578125,1211.5699462890625,172.69093322753906
2025-05-28,200.1927947998047,456.609375,1208.550048828125,172.15159606933594
2025-05-29,199.72332763671875,457.9272155761719,1184.8599853515625,171.65219116210938
2025-05-30,200.622314453125,459.60443115234375,1207.22998046875,171.5323486328125
2025-06-02,201.47134399414062,461.2118225097656,1218.97998046875,168.82562255859375
2025-06-03,203.03956604003906,462.2101745605469,1217.93994140625,165.97906494140625
2025-06-04,202.590087890625,463.1086730957031,1239.6600341796875,167.8468017578125
2025-06-05,200.40257263183594,466.91241455078125,1250.52001953125,168.00662231445312
2025-06-06,203.68882751464844,469.6080017089844,1241.469970703125,173.46998596191406
2025-06-09,201.2216339111328,471.97412109375,1224.4599609375,176.08999633789062
2025-06-10,202.44024658203125,470.1471252441406,1203.6199951171875,178.60000610351562
2025-06-11,198.55465698242188,471.8443298339844,1219.8800048828125,177.35000610351562
2025-06-12,198.97418212890625,478.0840759277344,1215.030029296875,175.6999969482422
2025-06-13,196.227294921875,474.18048095703125,1212.1500244140625,174.6699981689453
2025-06-16,198.195068359375,478.3536376953125,1225.3499755859375,176.77000427246094
2025-06-17,195.418212890625,477.25543212890625,1220.6700439453125,175.9499969482422
2025-06-18,196.35714721679688,479.4518127441406,1222.2900390625,173.32000732421875
2025-06-20,200.7721405029297,476.6164855957031,1231.4100341796875,166.63999938964844
2025-06-23,201.27157592773438,485.2023620605469,1253.5400390625,165.19000244140625
2025-06-24,200.07293701171875,489.30560302734375,1279.1099853515625,166.77000427246094
2025-06-25,201.33151245117188,491.4620666503906,1275.25,170.67999267578125
2025-06-26,200.7721405029297,496.6335754394531,1306.6700439453125,173.5399932861328
2025-06-27,200.85205078125,495.1260681152344,1323.1199951171875,178.52999877929688
2025-06-30,204.93740844726562,496.5936584472656,1339.1300048828125,176.22999572753906
2025-07-01,207.58441162109375,491.242431640625,1293.5999755859375,175.83999633789062
2025-07-02,212.1991729736328,490.2840270996094,1284.8599853515625,178.63999938964844
2025-07-03,213.30792236328125,498.02130126953125,1297.1800537109375,179.52999877929688
2025-07-07,209.7119903564453,496.90313720703125,1289.6199951171875,176.7899932861328
2025-07-08,209.7719268798828,495.804931640625,1275.31005859375,174.36000061035156
2025-07-09,210.90065002441406,502.68365478515625,1288.280029296875,176.6199951171875
2025-07-10,212.16920471191406,500.656982421875,1250.5899658203125,177.6199951171875
2025-07-11,210.92062377929688,502.49395751953125,1245.1099853515625,180.19000244140625
2025-07-14,208.3834991455078,502.1944274902344,1261.949951171875,181.55999755859375
2025-07-15,208.87295532226562,504.9898376464844,1260.27001953125,182.0
2025-07-16,209.92176818847656,504.7901611328125,1250.31005859375,182.97000122070312
2025-07-17,209.78192138671875,510.8601989746094,1274.1700439453125,183.5800018310547
2025-07-18,210.9405975341797,509.212890625,1209.239990234375,185.05999755859375
2025-07-21,212.23912048339844,509.2228698730469,1233.27001953125,190.10000610351562
2025-07-22,214.15695190429688,504.44073486328125,1190.0799560546875,191.33999633789062
2025-07-23,213.9072265625,505.0397644042969,1176.780029296875,190.22999572753906
2025-07-24,213.51766967773438,510.0415344238281,1180.760009765625,192.1699981689453
2025-07-25,213.63754272460938,512.866943359375,1180.489990234375,193.17999267578125
2025-07-28,213.80735778808594,511.65887451171875,1174.5999755859375,192.5800018310547
2025-07-29,211.03050231933594,511.728759765625,1168.739990234375,195.75
2025-07-30,208.81301879882812,512.3976440429688,1184.199951171875,196.52999877929688
2025-07-31,207.33470153808594,532.6243896484375,1159.4000244140625,191.89999389648438
2025-08-01,202.1505889892578,523.2498168945312,1158.5999755859375,189.1300048828125
2025-08-04,203.11949157714844,534.7609252929688,1170.989990234375,195.0399932861328
2025-08-05,202.68995666503906,526.8838500976562,1147.8699951171875,194.6699981689453
2025-08-06,213.0082550048828,524.0784912109375,1178.47998046875,196.08999633789062
2025-08-07,219.7805633544922,519.9852294921875,1180.3699951171875,196.52000427246094
2025-08-08,229.0900115966797,521.1832275390625,1211.6400146484375,201.4199981689453
2025-08-11,227.17999267578125,520.9136962890625,1218.31005859375,201.0
2025-08-12,229.64999389648438,528.3713989257812,1225.280029296875,203.33999633789062
2025-08-13,233.3300018310547,519.7256469726562,1204.43994140625,201.9600067138672
2025-08-14,232.77999877929688,521.6224975585938,1230.56005859375,202.94000244140625
2025-08-15,231.58999633789062,519.3162841796875,1238.949951171875,203.89999389648438
2025-08-18,230.88999938964844,516.2512817382812,1245.0899658203125,203.5
2025-08-19,230.55999755859375,508.933349609375,1214.1500244140625,201.57000732421875
2025-08-20,226.00999450683594,504.8900146484375,1213.8599853515625,199.32000732421875
2025-08-21,224.89999389648438,504.239990234375,1206.2099609375,199.75
2025-08-22,227.75999450683594,507.2300109863281,1204.6500244140625,206.08999633789062
